500, 0.000000e+00
490, 1.736482e-01
480, 3.420201e-01
470, 5.000000e-01
460, 6.427876e-01
450, 7.660444e-01
440, 8.660254e-01
430, 9.396926e-01
420, 9.848078e-01
410, 1.000000e+00
400, 9.848078e-01
390, 9.396926e-01
380, 8.660254e-01
370, 7.660444e-01
360, 6.427876e-01
350, 5.000000e-01
340, 3.420201e-01
330, 1.736482e-01
320, 1.224647e-16
310, -1.736482e-01
300, -3.420201e-01
290, -5.000000e-01
280, -6.427876e-01
270, -7.660444e-01
260, -8.660254e-01
250, -9.396926e-01
240, -9.848078e-01
230, -1.000000e+00
220, -9.848078e-01
210, -9.396926e-01
200, -8.660254e-01
190, -7.660444e-01
180, -6.427876e-01
170, -5.000000e-01
160, -3.420201e-01
150, -1.736482e-01
140, -2.449294e-16
130, 1.736482e-01
120, 3.420201e-01
110, 5.000000e-01
100, 6.427876e-01
90, 7.660444e-01
80, 8.660254e-01
70, 9.396926e-01
60, 9.848078e-01
50, 1.000000e+00
40, 9.848078e-01
30, 9.396926e-01
20, 8.660254e-01
10, 7.660444e-01
0, 6.427876e-01
-10, 5.000000e-01
-20, 3.420201e-01
-30, 1.736482e-01
-40, 3.673940e-16
-50, -1.736482e-01
-60, -3.420201e-01
-70, -5.000000e-01
-80, -6.427876e-01
-90, -7.660444e-01
-100, -8.660254e-01
-110, -9.396926e-01
-120, -9.848078e-01
-130, -1.000000e+00
-140, -9.848078e-01
-150, -9.396926e-01
-160, -8.660254e-01
-170, -7.660444e-01
-180, -6.427876e-01
-190, -5.000000e-01
-200, -3.420201e-01
-210, -1.736482e-01
-220, -4.898587e-16
-230, 1.736482e-01
-240, 3.420201e-01
-250, 5.000000e-01
-260, 6.427876e-01
-270, 7.660444e-01
-280, 8.660254e-01
-290, 9.396926e-01
-300, 9.848078e-01
-310, 1.000000e+00
-320, 9.848078e-01
-330, 9.396926e-01
-340, 8.660254e-01
-350, 7.660444e-01
